timestamp,arbitration_id,dlc,data_hex,pid,signal,value,unit
1778139429.004,0x7E8,8,03 41 0D 4B 00 00 00 00,0x0D,Vehicle Speed,75,km/h
1778139429.207,0x7E8,8,03 41 05 86 00 00 00 00,0x05,Coolant Temp,94,°C
1778139429.412,0x7E8,8,03 41 11 F4 00 00 00 00,0x11,Throttle Position,95.7,%%
1778139429.612,0x7E8,8,03 41 11 EF 00 00 00 00,0x11,Throttle Position,93.7,%%
1778139429.813,0x7E8,8,04 41 0C 46 28 00 00 00,0x0C,Engine RPM,4490.0,RPM
1778139430.013,0x7E8,8,03 41 05 7B 00 00 00 00,0x05,Coolant Temp,83,°C
1778139430.222,0x7E8,8,03 41 05 90 00 00 00 00,0x05,Coolant Temp,104,°C
1778139430.426,0x7E8,8,03 41 11 FF 00 00 00 00,0x11,Throttle Position,100.0,%%
1778139430.63,0x7E8,8,03 41 0D 9D 00 00 00 00,0x0D,Vehicle Speed,157,km/h
1778139430.832,0x7E8,8,03 41 05 79 00 00 00 00,0x05,Coolant Temp,81,°C
1778139431.034,0x7E8,8,03 41 0D 52 00 00 00 00,0x0D,Vehicle Speed,82,km/h
1778139431.34,0x7E8,8,03 41 04 2D 00 00 00 00,0x04,Engine Load,17.6,%%
1778139431.545,0x7E8,8,03 41 05 7B 00 00 00 00,0x05,Coolant Temp,83,°C
1778139431.75,0x7E8,8,03 41 0F 48 00 00 00 00,0x0F,Intake Air Temp,32,°C
1778139431.955,0x7E8,8,04 41 0C 23 08 00 00 00,0x0C,Engine RPM,2242.0,RPM
1778139432.16,0x7E8,8,03 41 04 DB 00 00 00 00,0x04,Engine Load,85.9,%%
1778139432.365,0x7E8,8,03 41 11 5B 00 00 00 00,0x11,Throttle Position,35.7,%%
1778139432.566,0x7E8,8,03 41 05 8E 00 00 00 00,0x05,Coolant Temp,102,°C
1778139432.769,0x7E8,8,03 41 0F 42 00 00 00 00,0x0F,Intake Air Temp,26,°C
1778139432.971,0x7E8,8,03 41 0D B9 00 00 00 00,0x0D,Vehicle Speed,185,km/h
